frame_name;actor_name;gender;top;right;bottom;left
DonnerBlitzundSonnenschein-109373.jpeg;Reinhold_Bernt;M;205;147;257;95
DonnerBlitzundSonnenschein-112880.jpeg;Ilse_Petri;F;139;540;268;411
DonnerBlitzundSonnenschein-113201.jpeg;Ilse_Petri;F;125;526;254;397
DonnerBlitzundSonnenschein-118380.jpeg;Ilse_Petri;F;110;225;239;96
DonnerBlitzundSonnenschein-118531.jpeg;Ilse_Petri;F;139;239;268;110
DonnerBlitzundSonnenschein-17731.jpeg;Volker_von_Collande;M;98;322;253;167
DonnerBlitzundSonnenschein-18059.jpeg;Hans_Leibelt;M;67;382;196;253
DonnerBlitzundSonnenschein-21591.jpeg;Ilse_Petri;F;10;454;139;325
DonnerBlitzundSonnenschein-31671.jpeg;Ilse_Petri;F;150;408;305;253
DonnerBlitzundSonnenschein-31760.jpeg;Ilse_Petri;F;98;390;253;236
DonnerBlitzundSonnenschein-32391.jpeg;Ilse_Petri;F;53;354;182;225
DonnerBlitzundSonnenschein-41774.jpeg;Ilse_Petri;F;176;434;265;344
DonnerBlitzundSonnenschein-42088.jpeg;Ilse_Petri;F;166;414;255;325
DonnerBlitzundSonnenschein-57567.jpeg;Ilse_Petri;F;198;308;260;246
DonnerBlitzundSonnenschein-71828.jpeg;Reinhold_Bernt;M;57;407;242;221
DonnerBlitzundSonnenschein-73841.jpeg;Reinhold_Bernt;M;82;296;211;167
DonnerBlitzundSonnenschein-80036.jpeg;Hans_Leibelt;M;176;335;265;245
DonnerBlitzundSonnenschein-80475.jpeg;Ilse_Petri;F;92;450;199;342
DonnerBlitzundSonnenschein-81067.jpeg;Hans_Leibelt;M;139;196;268;67
DonnerBlitzundSonnenschein-82536.jpeg;Ilse_Petri;F;59;121;122;59
DonnerBlitzundSonnenschein-90202.jpeg;Ilse_Petri;F;70;204;113;160
DonnerBlitzundSonnenschein-92160.jpeg;Reinhold_Bernt;M;92;533;199;426
DonnerBlitzundSonnenschein-94455.jpeg;Hans_Leibelt;M;108;280;170;218
